[Measurement conditions]
Sample identification,La2O3
Comment - 1,"Configuration=Plataforma Reflexion-Transmision spinner, Owner=User-1, Creation date=2/3/2023 7:20:03 AM"
Comment - 2,"Goniometer=Omega/2Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Reflection-transmission spinner; Minimum step size Phi:0.1"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\DRX01-005-5-80.xrdmp, Identifier={D2D94ECF-D8E1-4D65-A9F1-1EA3648327E6}"
Comment - 6,"Batch program=C:\PANalytical\Data Collector\Programs\BATCH.xrdmp, Identifier={1A5E0411-49C0-46C9-A459-383431844E05}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.5
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,07/Mar/2023 14:03
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.999799996,79.999969724
Scan step size,0.0525211
No. of points, 1428
Scan type,CONTINUOUS
Phi,172.6
Time per step,44.880
[Scan points]
Angle,Intensity
5.026060560,4678.0
5.078581687,4658.0
5.131102815,4542.0
5.183623942,4538.0
5.236145069,4412.0
5.288666196,4410.0
5.341187324,4395.0
5.393708451,4372.0
5.446229578,4147.0
5.498750705,4132.0
5.551271833,4279.0
5.603792960,4075.0
5.656314087,4075.0
5.708835214,4022.0
5.761356342,3984.0
5.813877469,3925.0
5.866398596,4098.0
5.918919723,3964.0
5.971440851,3980.0
6.023961978,4010.0
6.076483105,4029.0
6.129004232,3943.0
6.181525360,3958.0
6.234046487,3973.0
6.286567614,3922.0
6.339088741,3882.0
6.391609869,3935.0
6.444130996,3945.0
6.496652123,3978.0
6.549173251,3918.0
6.601694378,3903.0
6.654215505,3919.0
6.706736632,3893.0
6.759257760,3918.0
6.811778887,3869.0
6.864300014,3823.0
6.916821141,3904.0
6.969342269,3888.0
7.021863396,3732.0
7.074384523,3877.0
7.126905650,3792.0
7.179426778,3841.0
7.231947905,3785.0
7.284469032,3832.0
7.336990159,3790.0
7.389511287,3761.0
7.442032414,3771.0
7.494553541,3812.0
7.547074668,3796.0
7.599595796,3665.0
7.652116923,3726.0
7.704638050,3783.0
7.757159178,3722.0
7.809680305,3618.0
7.862201432,3722.0
7.914722559,3785.0
7.967243687,3766.0
8.019764814,3669.0
8.072285941,3750.0
8.124807068,3691.0
8.177328196,3690.0
8.229849323,3633.0
8.282370450,3638.0
8.334891577,3594.0
8.387412705,3611.0
8.439933832,3634.0
8.492454959,3649.0
8.544976086,3648.0
8.597497214,3453.0
8.650018341,3612.0
8.702539468,3554.0
8.755060595,3565.0
8.807581723,3607.0
8.860102850,3537.0
8.912623977,3423.0
8.965145104,3641.0
9.017666232,3510.0
9.070187359,3517.0
9.122708486,3464.0
9.175229614,3378.0
9.227750741,3427.0
9.280271868,3440.0
9.332792995,3405.0
9.385314123,3310.0
9.437835250,3314.0
9.490356377,3515.0
9.542877504,3336.0
9.595398632,3392.0
9.647919759,3356.0
9.700440886,3381.0
9.752962013,3339.0
9.805483141,3307.0
9.858004268,3336.0
9.910525395,3216.0
9.963046522,3298.0
10.015567650,3275.0
10.068088777,3097.0
10.120609904,3214.0
10.173131031,3214.0
10.225652159,3189.0
10.278173286,3208.0
10.330694413,3152.0
10.383215541,3151.0
10.435736668,3062.0
10.488257795,3120.0
10.540778922,3084.0
10.593300050,3083.0
10.645821177,2930.0
10.698342304,3050.0
10.750863431,3129.0
10.803384559,3149.0
10.855905686,3127.0
10.908426813,3042.0
10.960947940,2953.0
11.013469068,2884.0
11.065990195,2888.0
11.118511322,2969.0
11.171032449,2903.0
11.223553577,2891.0
11.276074704,2872.0
11.328595831,2801.0
11.381116958,2919.0
11.433638086,2838.0
11.486159213,2872.0
11.538680340,2793.0
11.591201467,2691.0
11.643722595,2720.0
11.696243722,2766.0
11.748764849,2809.0
11.801285977,2735.0
11.853807104,2723.0
11.906328231,2714.0
11.958849358,2653.0
12.011370486,2678.0
12.063891613,2720.0
12.116412740,2680.0
12.168933867,2544.0
12.221454995,2570.0
12.273976122,2658.0
12.326497249,2743.0
12.379018376,2621.0
12.431539504,2546.0
12.484060631,2518.0
12.536581758,2584.0
12.589102885,2535.0
12.641624013,2510.0
12.694145140,2504.0
12.746666267,2428.0
12.799187394,2500.0
12.851708522,2504.0
12.904229649,2475.0
12.956750776,2402.0
13.009271904,2509.0
13.061793031,2455.0
13.114314158,2432.0
13.166835285,2374.0
13.219356413,2375.0
13.271877540,2400.0
13.324398667,2329.0
13.376919794,2257.0
13.429440922,2456.0
13.481962049,2363.0
13.534483176,2252.0
13.587004303,2313.0
13.639525431,2344.0
13.692046558,2294.0
13.744567685,2367.0
13.797088812,2272.0
13.849609940,2316.0
13.902131067,2310.0
13.954652194,2243.0
14.007173321,2159.0
14.059694449,2204.0
14.112215576,2300.0
14.164736703,2290.0
14.217257830,2203.0
14.269778958,2196.0
14.322300085,2206.0
14.374821212,2104.0
14.427342340,2145.0
14.479863467,2189.0
14.532384594,2187.0
14.584905721,2155.0
14.637426849,2153.0
14.689947976,2145.0
14.742469103,2162.0
14.794990230,2149.0
14.847511358,2111.0
14.900032485,2160.0
14.952553612,2158.0
15.005074739,2100.0
15.057595867,2157.0
15.110116994,2151.0
15.162638121,2222.0
15.215159248,2386.0
15.267680376,2456.0
15.320201503,2621.0
15.372722630,2827.0
15.425243757,3230.0
15.477764885,3871.0
15.530286012,4912.0
15.582807139,6365.0
15.635328267,8165.0
15.687849394,8888.0
15.740370521,7028.0
15.792891648,4799.0
15.845412776,3475.0
15.897933903,2845.0
15.950455030,2416.0
16.002976157,2242.0
16.055497285,2105.0
16.108018412,1995.0
16.160539539,1956.0
16.213060666,1942.0
16.265581794,1930.0
16.318102921,1875.0
16.370624048,1756.0
16.423145175,1797.0
16.475666303,1784.0
16.528187430,1797.0
16.580708557,1784.0
16.633229684,1674.0
16.685750812,1696.0
16.738271939,1798.0
16.790793066,1680.0
16.843314193,1664.0
16.895835321,1662.0
16.948356448,1589.0
17.000877575,1660.0
17.053398703,1626.0
17.105919830,1625.0
17.158440957,1620.0
17.210962084,1645.0
17.263483212,1652.0
17.316004339,1595.0
17.368525466,1565.0
17.421046593,1535.0
17.473567721,1501.0
17.526088848,1595.0
17.578609975,1564.0
17.631131102,1652.0
17.683652230,1597.0
17.736173357,1594.0
17.788694484,1587.0
17.841215611,1613.0
17.893736739,1517.0
17.946257866,1590.0
17.998778993,1516.0
18.051300120,1440.0
18.103821248,1585.0
18.156342375,1488.0
18.208863502,1519.0
18.261384630,1455.0
18.313905757,1476.0
18.366426884,1432.0
18.418948011,1411.0
18.471469139,1424.0
18.523990266,1498.0
18.576511393,1432.0
18.629032520,1434.0
18.681553648,1375.0
18.734074775,1379.0
18.786595902,1370.0
18.839117029,1396.0
18.891638157,1317.0
18.944159284,1377.0
18.996680411,1401.0
19.049201538,1356.0
19.101722666,1383.0
19.154243793,1380.0
19.206764920,1386.0
19.259286047,1396.0
19.311807175,1341.0
19.364328302,1335.0
19.416849429,1358.0
19.469370556,1450.0
19.521891684,1407.0
19.574412811,1329.0
19.626933938,1305.0
19.679455066,1285.0
19.731976193,1362.0
19.784497320,1318.0
19.837018447,1339.0
19.889539575,1294.0
19.942060702,1297.0
19.994581829,1294.0
20.047102956,1264.0
20.099624084,1243.0
20.152145211,1219.0
20.204666338,1301.0
20.257187465,1204.0
20.309708593,1224.0
20.362229720,1284.0
20.414750847,1232.0
20.467271974,1136.0
20.519793102,1193.0
20.572314229,1245.0
20.624835356,1215.0
20.677356483,1243.0
20.729877611,1209.0
20.782398738,1236.0
20.834919865,1223.0
20.887440993,1190.0
20.939962120,1224.0
20.992483247,1155.0
21.045004374,1171.0
21.097525502,1118.0
21.150046629,1227.0
21.202567756,1151.0
21.255088883,1149.0
21.307610011,1264.0
21.360131138,1165.0
21.412652265,1142.0
21.465173392,1136.0
21.517694520,1171.0
21.570215647,1102.0
21.622736774,1139.0
21.675257901,1183.0
21.727779029,1184.0
21.780300156,1081.0
21.832821283,1180.0
21.885342410,1102.0
21.937863538,1068.0
21.990384665,1058.0
22.042905792,1159.0
22.095426919,1075.0
22.147948047,1058.0
22.200469174,1095.0
22.252990301,1186.0
22.305511429,1201.0
22.358032556,1136.0
22.410553683,1093.0
22.463074810,1037.0
22.515595938,1043.0
22.568117065,1063.0
22.620638192,1085.0
22.673159319,1078.0
22.725680447,1116.0
22.778201574,1085.0
22.830722701,1037.0
22.883243828,1083.0
22.935764956,1076.0
22.988286083,1056.0
23.040807210,1016.0
23.093328337,1064.0
23.145849465,1020.0
23.198370592,1062.0
23.250891719,1014.0
23.303412846,1053.0
23.355933974,1023.0
23.408455101,977.0
23.460976228,1027.0
23.513497356,1028.0
23.566018483,1014.0
23.618539610,1019.0
23.671060737,998.0
23.723581865,967.0
23.776102992,995.0
23.828624119,996.0
23.881145246,988.0
23.933666374,1009.0
23.986187501,1039.0
24.038708628,1022.0
24.091229755,968.0
24.143750883,947.0
24.196272010,989.0
24.248793137,1035.0
24.301314264,1116.0
24.353835392,1135.0
24.406356519,1156.0
24.458877646,1174.0
24.511398773,1022.0
24.563919901,1069.0
24.616441028,1032.0
24.668962155,1008.0
24.721483282,989.0
24.774004410,920.0
24.826525537,917.0
24.879046664,939.0
24.931567792,943.0
24.984088919,896.0
25.036610046,989.0
25.089131173,946.0
25.141652301,975.0
25.194173428,1002.0
25.246694555,963.0
25.299215682,965.0
25.351736810,930.0
25.404257937,963.0
25.456779064,915.0
25.509300191,926.0
25.561821319,862.0
25.614342446,914.0
25.666863573,907.0
25.719384700,913.0
25.771905828,923.0
25.824426955,1003.0
25.876948082,973.0
25.929469209,959.0
25.981990337,864.0
26.034511464,877.0
26.087032591,926.0
26.139553719,921.0
26.192074846,842.0
26.244595973,928.0
26.297117100,959.0
26.349638228,930.0
